verb,0/1
сообщать,0
сообщить,0
принять,0
задержать,1
провести,0
пройти,0
писать,0
начать,0
считать,0
погибнуть,1
сделать,0
найти,0
появиться,0
отказаться,1
признать,0
удаться,0
создать,0
решить,0
предложить,0
начаться,0
добавить,0
использовать,0
проходить,0
подозревать,1
запретить,1
утверждать,0
подписать,0
пытаться,0
пострадать,1
хотеть,1
обвинять,1
написать,0
вести,0
арестовать,1
проводить,0
принимать,0
выпустить,0
пояснить,0
обвинить,1
позволить,0
требовать,1
стоить,0
прийтись,0
упасть,1
представлять,0
потребовать,1
призвать,0
достигнуть,1
пообещать,1
построить,0
помочь,1
организовать,1
приговорить,1
попросить,1
объяснить,0
следовать,0
осудить,1
выиграть,1
скончаться,1
предлагать,0
делать,0
позволять,0
поддержать,1
прекратить,1
продолжаться,0
продолжать,0
завершиться,0
увеличить,0
похитить,1
освободить,1
запустить,0
нападать,1
попытаться,1
согласиться,1
привлечь,0
основать,1
поддерживать,1
захватить,1
видеть,0
продолжить,1
разрешить,1
устроить,1
одобрить,1
увеличиться,0
потерять,1
просить,0
оценить,0
допустить,1
возникнуть,0
прийти,0
превышать,1
грозить,1
прокомментировать,0
увидеть,0
победить,1
комментировать,0
снизиться,0
объединить,0
уничтожить,1
убить,1
превысить,0
сократить,1
договориться,1
утвердить,0
обязать,1
остановить,1
умереть,1
добиться,1
пользоваться,0
забить,1
снизить,0
обещать,0
вывести,0
потратить,0
надеяться,1
приостановить,0
рассчитывать,0
угрожать,1
судить,1
начинать,0
ждать,0
спасти,1
проиграть,1
закрыть,0
напасть,1
искать,0
вынудить,1
приходиться,0
произвести,0
застрелить,1
украсть,1
создавать,0
сократиться,0
бороться,1
отказываться,0
обыграть,1
ликвидировать,0
нарушить,1
родиться,0
помогать,1
приступить,0
повысить,0
закончиться,0
появляться,0
счесть,0
повредить,1
отказать,1
призывать,0
заблокировать,1
завоевать,1
предупредить,1
понять,0
достигать,1
сотрудничать,1
возобновить,0
рекомендовать,1
подорожать,1
выпускать,0
заставить,1
защитить,1
взорвать,1
сформировать,0
поймать,1
врезаться,1
понимать,0
оценивать,0
воспользоваться,0
способствовать,1
ударить,1
нарушать,1
потребоваться,1
отрицать,1
избить,1
протестовать,1
лишиться,1
производить,0
пожаловаться,1
опасаться,1
заподозрить,1
применить,0
отклонить,1
объяснять,0
бросить,1
строить,0
запрещать,1
последовать,0
перестать,0
разрушить,1
защищать,1
предпринять,0
обжаловать,0
закончить,0
обстрелять,1
забросить,0
перекрыть,0
загореться,1
опуститься,0
потерпеть,0
блокировать,1
добиваться,1
страдать,1
пригрозить,1
стрелять,1
посчитать,0
развивать,1
лидировать,1
раскритиковать,1
атаковать,1
обновить,0
отвергнуть,1
образоваться,0
изучить,0
предотвратить,1
помешать,1
решать,0
проникнуть,0
признавать,0
обрушиться,1
наказать,1
добавлять,0
присвоить,1
усилить,0
остановиться,0
чувствовать,0
применять,0
постановить,0
спровоцировать,1
требоваться,1
изучать,0
заказать,0
разыскивать,1
подарить,1
возникать,0
приходить,0
посоветовать,0
оправдать,1
прервать,1
устраивать,0
выстрелить,1
улучшить,1
сорвать,1
предупреждать,1
привлекать,1
инициировать,0
расстрелять,1
стремиться,1
исчезнуть,0
любить,1
решаться,0
изготовить,0
мешать,1
жаловаться,1
начинаться,0
ограбить,1
верить,1
сработать,1
возвести,0
ворваться,1
желать,1
удаваться,1
охранять,0
приниматься,0
падать,0
понадобиться,1
противоречить,1
поздравить,1
нуждаться,1
пожелать,1
разобраться,0
придумать,0
придерживаться,0
объединять,0
поблагодарить,1
выручить,1
сломать,1
уменьшиться,0
образовать,0
развиваться,0
допускать,0
бояться,1
поразить,1
уличить,1
соблюдать,0
угнать,1
продолжиться,0
разгромить,1
проанализировать,0
стараться,0
снижаться,0
учредить,0
тратить,0
инвестировать,1
бить,1
уменьшить,0
разбить,1
критиковать,1
распорядиться,0
пояснять,0
преследовать,1
захотеть,1
возобновиться,0
взломать,1
отвергать,1
воевать,1
дисквалифицировать,1
предпочитать,1
исследовать,0
хватать,0
убивать,1
подорвать,1
понравиться,1
настроить,0
заставлять,1
курировать,0
обойти,0
наступить,0
препятствовать,1
финансировать,1
скрывать,1
отражать,0
подвести,0
находить,0
терять,0
ужесточить,1
увеличиваться,0
употреблять,0
предпринимать,0
разрешать,1
выслать,1
повышать,1
заинтересоваться,1
присудить,0
приказать,1
спрятать,0
нравиться,1
побить,1
отвести,0
выигрывать,1
опередить,1
обмануть,1
почувствовать,0
подключить,0
забыть,0
увеличивать,0
заслужить,1
решиться,0
схватить,1
сэкономить,0
казнить,1
пресечь,1
противостоять,1
оккупировать,1
закрывать,0
избивать,1
уведомить,0
украсить,1
проинформировать,0
вспомнить,0
похоронить,0
обезвредить,1
предпочесть,1
разворачиваться,0
снижать,0
достать,0
изложить,0
задерживать,1
понизить,0
сомневаться,1
отслеживать,0
вырастить,0
заканчиваться,0
помнить,0
держаться,0
провалиться,1
заболеть,1
вытащить,0
сражаться,1
утратить,1
воспринять,0
интересоваться,1
ухудшиться,1
прекратиться,0
разогнать,1
приветствовать,1
изнасиловать,1
окружить,0
отразить,0
заминировать,1
повыситься,0
скрыть,0
востребовать,0
сбросить,0
опережать,0
формировать,0
санкционировать,0
побеждать,1
информировать,0
укрепить,1
вспыхнуть,0
переиграть,0
родить,0
подписывать,0
запускать,0
оскорблять,1
отравиться,1
свергнуть,1
поверить,1
обеспокоить,1
задеть,1
везти,0
постараться,1
проигнорировать,1
обогнать,0
завысить,0
доверять,1
оскорбить,1
выработать,0
бросать,1
депортировать,1
объединиться,1
советовать,1
обязывать,0
перехватить,0
отбить,1
взяться,0
прекращать,0
анализировать,0
отравить,1
посетовать,1
отстаивать,1
уважать,1
сокращать,0
доложить,0
научить,0
воспринимать,0
усомниться,1
развернуться,0
заслуживать,1
разбираться,1
ратифицировать,1
уничтожать,1
прибавить,0
рисковать,1
подъехать,0
зарезать,1
инкриминировать,0
выгнать,1
модернизировать,1
наступать,0
руководствоваться,1
осуждать,1
отомстить,1
душить,1
побороться,1
колебаться,0
сокращаться,1
болеть,1
броситься,0
смягчить,1
игнорировать,1
спастись,1
испортить,1
отрезать,0
проигрывать,1
освещать,0
занизить,1
испугаться,1
поражать,1
умирать,1
превосходить,0
завязаться,0
терпеть,1
пошутить,1
шокировать,1
догнать,0
останавливаться,0
разъяснить,0
вдохновить,1
усовершенствовать,1
приняться,0
возлюбить,1
наброситься,1
напугать,1
патрулировать,0
завладеть,1
разразиться,0
полагаться,1
упустить,1
помиловать,1
спасать,1
организовывать,1
проникать,0
нарастить,0
поссориться,1
спасть,0
вспоминать,0
прорвать,0
усилиться,0
гордиться,1
ловить,1
учить,1
одобрять,1
поинтересоваться,1
профинансировать,1
разочаровать,1
превзойти,1
улучшиться,0
порекомендовать,1
провоцировать,1
отказывать,1
повышаться,0
драться,1
урезать,1
ослабить,1
сожалеть,1
удвоить,1
доминировать,1
пасть,1
повезти,1
проложить,0
хорошеть,1
экономить,0
беспокоить,1
прекращаться,0
вступиться,1
оговорить,1
обокрасть,1
презентовать,0
преподавать,0
повесить,0
выдворить,1
соглашаться,1
наехать,0
забывать,0
избавить,1
договариваться,1
обвалиться,1
проследить,1
разрешаться,1
наращивать,1
исчерпать,1
вытеснить,1
усмотреть,0
возрастать,0
осознать,0
пропагандировать,1
завершаться,0
похищать,1
воссоздать,0
отравлять,1
поведать,0
привыкнуть,0
возводить,0
просмотреть,0
похвалить,1
выгореть,1
содействовать,1
освобождать,1
молиться,1
посеять,0
осложнить,1
травмировать,1
воровать,1
обстреливать,1
предостеречь,1
порочить,1
освоить,0
останавливать,1
отстоять,1
удариться,1
укрепиться,0
опускаться,0
сломаться,1
захватывать,1
вторгнуться,1
захоронить,0
понизиться,0
эксплуатировать,1
поздравлять,1
усиливать,1
израсходовать,1
упрекнуть,1
пытать,1
отыскать,0
возобновлять,1
расстроить,1
дискредитировать,1
генерировать,0
распоряжаться,0
выращивать,0
бастовать,1
пугать,1
подрывать,1
злоупотреблять,1
достроить,0
толкнуть,1
разглядеть,0
арестовывать,1
уменьшаться,0
дорожать,1
зажечь,0
ужесточать,1
отступить,1
разрушать,1
дестабилизировать,1
разоблачить,1
обезглавить,1
велеть,0
отбросить,0
разыскать,0
изгнать,1
воссоединиться,1
застать,0
укреплять,1
исчезать,0
вырабатывать,0
ухудшить,1
дарить,1
приостанавливать,0
уклоняться,1
забрасывать,1
украшать,1
изготавливать,0
затормозить,0
шутить,1
увлекаться,1
воспрепятствовать,1
утерять,0
известить,0
преобладать,0
браться,0
побудить,1
штурмовать,1
ценить,1
оправдывать,1
осознавать,0
конфликтовать,1
оптимизировать,0
вынуждать,1
подтолкнуть,0
ухудшаться,1
чаять,1
сопротивляться,1
волновать,1
прятать,1
нейтрализовать,1
забивать,1
расправиться,1
смеяться,1
соорудить,0
поспособствовать,1
насиловать,1
издеваться,1
беспокоиться,1
отследить,0
осквернить,1
расширяться,1
обманывать,1
плакать,1
развить,1
переть,1
винить,1
раскаяться,1
настать,0
воспроизводить,0
обходить,1
ломать,1
донести,1
сразиться,1
навредить,1
звереть,1
враждовать,1
раздражать,1
обезопасить,1
оттеснить,1
ненавидеть,1
присуждать,0
благодарить,1
спасаться,1
давить,1
осваивать,0
уменьшать,0
прогнать,1
грабить,1
развалиться,1
вредить,1
переставать,0
подбросить,0
посмеяться,1
затратить,0
подводить,1
угодить,1
унижать,1
перерезать,1
сбрасывать,0
озаботить,1
оповестить,0
спонсировать,1
похвастаться,1
загрязнить,1
улыбаться,1
развести,1
обновлять,0
одолеть,1
укоротить,0
портить,1
приступать,0
покорить,1
обидеться,1
улучшать,1
консультировать,0
объединяться,1
заступиться,1
высылать,0
поощрять,1
уклониться,1
пресекать,1
усиливаться,0
запугать,1
заехать,0
бомбить,1
консолидировать,0
красть,1
вымереть,1
перекрывать,0
адаптироваться,1
породить,0
завоёвывать,1
укрепляться,0
разграбить,1
окончиться,0
экстрадировать,1
обогатить,1
лишаться,1
соблюсти,0
употребить,0
кидать,0
разгонять,1
присваивать,1
предотвращать,1
порадовать,1
уведомлять,0
ругаться,1
осложнять,1
разбомбить,1
ущемлять,1
радоваться,1
завязать,1
радовать,1
кинуть,0
дружить,1
отогнать,1
недооценить,1
выдумать,0
воспроизвести,0
отступать,0
выловить,0
царить,0
усугубить,1
уложить,0
пожалеть,1
подбить,0
тормозить,0
обидеть,1
сконструировать,0
принуждать,1
подставить,1
прерывать,1
задавить,1
противодействовать,1
осадить,1
упрекать,1
обосноваться,0
расходовать,0
осветить,0
жалеть,1
шантажировать,1
навязать,1
развиться,0
срывать,1
потрясти,1
сочувствовать,1
рождаться,0
раздавить,1
загрязнять,1
заесть,0
навязывать,1
удвоиться,0
лоббировать,1
почитать,1
потрясать,1
придумывать,0
потеплеть,1
тянуть,0
доставать,0
взрывать,1
расстреливать,1
толкать,1
разжигать,1
принудить,1
хоронить,1
волноваться,1
разоружить,1
подкупить,1
окружать,0
субсидировать,1
расшириться,0
надоесть,1
мстить,1
творить,1
вызволить,1
выкрасть,1
затребовать,1
разозлиться,1
агитировать,1
загнать,1
лгать,1
увлечься,1
иллюстрировать,0
угадать,0
кончиться,0
скорбеть,1
ассистировать,0
озаботиться,1
взламывать,1
улучшаться,1
завышать,0
расколоть,1
подключать,0
прострелить,1
приостанавливаться,0
парировать,1
переоценить,1
трактовать,0
докладывать,0
прихватить,0
зацепить,0
бушевать,1
подыскать,0
ослабнуть,1
вдохновлять,1
истолковать,0
разочароваться,1
наслаждаться,1
присягнуть,1
сочинить,0
разбивать,1
преувеличить,0
травить,1
задохнуться,1
разъяснять,0
громить,1
добить,1
грозиться,1
свалиться,1
отбиться,1
зародиться,0
затеять,0
обворовать,1
понадеяться,1
припомнить,0
отодвинуть,0
выследить,0
рожать,0
сетовать,1
обгонять,0
подружиться,1
понижать,1
отпугнуть,1
порождать,0
постичь,0
встревожить,1
подыскивать,0
образовываться,0
погубить,1
пресмыкаться,1
унизить,1
поклясться,0
врать,1
восстать,1
огорчить,1
форсировать,1
обрадоваться,1
нервничать,1
испортиться,1
сторожить,0
проиллюстрировать,0
скатиться,1
присматривать,0
запугивать,1
перебить,0
надругаться,1
обыгрывать,1
страховать,1
потеснить,1
вытаскивать,0
настигнуть,0
благословить,1
отклонять,1
первенствовать,0
бросаться,0
полюбить,1
занижать,1
оборваться,0
проконсультироваться,0
мочить,1
совершенствовать,1
заливать,0
обозвать,1
взволновать,1
симпатизировать,1
консультироваться,0
загрызть,1
взбунтоваться,1
разгневать,1
пренебрегать,1
излагать,0
поругаться,1
потянуть,0
резать,0
подталкивать,0
выгонять,1
выкопать,0
прибавиться,0
расстроиться,1
повелеть,0
побояться,1
вторгаться,1
усугублять,1
раскопать,0
подсказать,0
терроризировать,1
нормализовать,0
усматривать,0
повздорить,1
предостерегать,1
ослаблять,1
поправиться,1
опорочить,1
утащить,0
раскаиваться,1
отделать,0
вешать,0
разложить,0
побуждать,0
изуродовать,1
освистать,1
стучать,0
зарубить,1
тащить,0
извинить,1
подъезжать,0
подложить,0
беречь,1
апеллировать,0
оповещать,0
красить,0
недооценивать,1
поощрить,1
побороть,1
расплакаться,1
расколоться,1
выпалить,0
разминировать,1
возобновляться,0
обогащать,1
поискать,0
ссориться,1
посоветоваться,1
искоренить,1
сплотить,1
истратить,1
хвастаться,1
приговаривать,1
впечатлить,1
укрывать,1
отпугивать,1
вытеснять,1
изыскать,0
кинуться,0
испугать,1
деформировать,1
рваться,1
прогрессировать,1
приспособиться,0
выздороветь,1
отвоевать,1
приказывать,0
плюнуть,1
рискнуть,0
изобличить,1
надлежать,0
порадоваться,1
развозить,0
пренебречь,1
влюбляться,1
разнести,0
воздвигнуть,1
понаблюдать,0
разорить,1