verb,0/1
сообщать,0
сообщить,0
принять,0
задержать,1
провести,0
пройти,0
писать,0
начать,0
считать,0
погибнуть,1
сделать,0
найти,0
появиться,0
отказаться,0
признать,0
удаться,0
создать,0
решить,0
предложить,0
начаться,0
добавить,0
использовать,0
проходить,0
подозревать,1
запретить,1
утверждать,0
подписать,0
пытаться,0
пострадать,1
хотеть,0
обвинять,1
написать,0
вести,0
арестовать,1
проводить,0
принимать,0
выпустить,0
пояснить,0
обвинить,0
позволить,0
требовать,1
стоить,0
прийтись,0
упасть,0
представлять,0
потребовать,1
призвать,0
достигнуть,0
пообещать,0
построить,0
помочь,1
организовать,0
приговорить,1
попросить,0
объяснить,0
следовать,0
осудить,1
выиграть,1
скончаться,1
предлагать,0
делать,0
позволять,0
поддержать,0
прекратить,0
продолжаться,0
продолжать,0
завершиться,0
увеличить,0
похитить,1
освободить,1
запустить,0
нападать,1
попытаться,0
согласиться,0
привлечь,1
основать,0
поддерживать,1
захватить,1
видеть,0
продолжить,0
разрешить,0
устроить,1
одобрить,0
увеличиться,0
потерять,1
просить,0
оценить,0
допустить,0
возникнуть,0
прийти,0
превышать,0
грозить,1
прокомментировать,0
увидеть,0
победить,0
комментировать,0
снизиться,0
объединить,0
уничтожить,1
убить,1
превысить,0
сократить,0
договориться,0
утвердить,0
обязать,1
остановить,0
умереть,1
добиться,0
пользоваться,0
забить,0
снизить,0
обещать,0
вывести,0
потратить,0
надеяться,0
приостановить,0
рассчитывать,0
угрожать,1
судить,1
начинать,0
ждать,0
спасти,0
проиграть,0
закрыть,0
напасть,1
искать,0
вынудить,1
приходиться,0
произвести,0
застрелить,1
украсть,1
создавать,0
сократиться,0
бороться,0
отказываться,0
обыграть,0
ликвидировать,1
нарушить,1
родиться,0
помогать,1
приступить,0
повысить,0
закончиться,0
появляться,0
счесть,1
повредить,1
отказать,1
призывать,1
заблокировать,1
завоевать,1
предупредить,0
понять,1
достигать,0
сотрудничать,0
возобновить,0
рекомендовать,0
подорожать,1
выпускать,0
заставить,1
защитить,1
взорвать,1
сформировать,0
поймать,1
врезаться,1
понимать,0
оценивать,0
воспользоваться,0
способствовать,1
ударить,1
нарушать,1
потребоваться,0
отрицать,1
избить,1
протестовать,1
лишиться,1
производить,0
пожаловаться,1
опасаться,1
заподозрить,1
применить,0
отклонить,1
объяснять,0
бросить,1
строить,0
запрещать,0
последовать,0
перестать,0
разрушить,1
защищать,1
предпринять,0
обжаловать,1
закончить,0
обстрелять,1
забросить,1
перекрыть,0
загореться,1
опуститься,0
потерпеть,1
блокировать,1
добиваться,0
страдать,1
пригрозить,1
стрелять,1
посчитать,0
развивать,0
лидировать,0
раскритиковать,1
атаковать,1
обновить,0
отвергнуть,1
образоваться,0
изучить,0
предотвратить,1
помешать,0
решать,0
проникнуть,1
признавать,1
обрушиться,1
наказать,1
добавлять,0
присвоить,0
усилить,0
остановиться,0
чувствовать,0
применять,0
постановить,1
спровоцировать,1
требоваться,0
изучать,0
заказать,0
разыскивать,1
подарить,0
возникать,0
приходить,0
посоветовать,0
оправдать,0
прервать,0
устраивать,1
выстрелить,1
улучшить,0
сорвать,1
предупреждать,0
привлекать,0
инициировать,0
расстрелять,1
стремиться,0
исчезнуть,0
любить,1
решаться,0
изготовить,0
мешать,1
жаловаться,1
начинаться,0
ограбить,1
верить,0
сработать,1
возвести,0
ворваться,1
желать,0
удаваться,1
охранять,1
приниматься,0
падать,1
понадобиться,0
противоречить,0
поздравить,1
нуждаться,1
пожелать,0
разобраться,0
придумать,0
придерживаться,0
объединять,0
поблагодарить,1
выручить,1
сломать,1
уменьшиться,0
образовать,0
развиваться,0
допускать,0
бояться,1
поразить,1
уличить,1
соблюдать,0
угнать,1
продолжиться,0
разгромить,1
проанализировать,0
стараться,0
снижаться,0
учредить,0
тратить,0
инвестировать,0
бить,1
уменьшить,0
разбить,1
критиковать,1
распорядиться,0
пояснять,0
преследовать,1
захотеть,0
возобновиться,0
взломать,1
отвергать,1
воевать,1
дисквалифицировать,1
предпочитать,0
исследовать,0
хватать,1
убивать,1
подорвать,1
понравиться,1
настроить,0
заставлять,1
курировать,0
обойти,0
наступить,0
препятствовать,0
финансировать,0
скрывать,1
отражать,0
подвести,1
находить,0
терять,1
ужесточить,1
увеличиваться,0
употреблять,0
предпринимать,0
разрешать,1
выслать,0
повышать,0
заинтересоваться,0
присудить,1
приказать,1
спрятать,1
нравиться,1
побить,1
отвести,0
выигрывать,1
опередить,0
обмануть,1
почувствовать,0
подключить,0
забыть,0
увеличивать,0
заслужить,1
решиться,1
схватить,1
сэкономить,0
казнить,1
пресечь,1
противостоять,1
оккупировать,1
закрывать,0
избивать,1
уведомить,1
украсить,1
проинформировать,0
вспомнить,0
похоронить,1
обезвредить,1
предпочесть,0
разворачиваться,0
снижать,0
достать,0
изложить,0
задерживать,1
понизить,0
сомневаться,0
отслеживать,0
вырастить,0
заканчиваться,0
помнить,0
держаться,0
провалиться,1
заболеть,1
вытащить,0
сражаться,1
утратить,1
воспринять,0
интересоваться,0
ухудшиться,1
прекратиться,0
разогнать,1
приветствовать,0
изнасиловать,1
окружить,1
отразить,0
заминировать,1
повыситься,0
скрыть,1
востребовать,1
сбросить,0
опережать,0
формировать,0
санкционировать,1
побеждать,1
информировать,0
укрепить,1
вспыхнуть,1
переиграть,0
родить,0
подписывать,0
запускать,0
оскорблять,1
отравиться,1
свергнуть,1
поверить,0
обеспокоить,1
задеть,1
везти,0
постараться,0
проигнорировать,0
обогнать,0
завысить,0
доверять,1
оскорбить,1
выработать,0
бросать,0
депортировать,1
объединиться,0
советовать,0
обязывать,1
перехватить,1
отбить,1
взяться,0
прекращать,0
анализировать,0
отравить,1
посетовать,0
отстаивать,1
уважать,1
сокращать,0
доложить,0
научить,0
воспринимать,0
усомниться,0
развернуться,0
заслуживать,1
разбираться,1
ратифицировать,1
уничтожать,1
прибавить,0
рисковать,1
подъехать,0
зарезать,1
инкриминировать,1
выгнать,1
модернизировать,0
наступать,1
руководствоваться,0
осуждать,1
отомстить,1
душить,1
побороться,1
колебаться,0
сокращаться,0
болеть,1
броситься,0
смягчить,1
игнорировать,0
спастись,1
испортить,1
отрезать,1
проигрывать,0
освещать,0
занизить,0
испугаться,1
поражать,1
умирать,1
превосходить,0
завязаться,0
терпеть,1
пошутить,0
шокировать,1
догнать,0
останавливаться,0
разъяснить,0
вдохновить,1
усовершенствовать,0
приняться,0
возлюбить,1
наброситься,1
напугать,1
патрулировать,1
завладеть,1
разразиться,1
полагаться,0
упустить,0
помиловать,1
спасать,1
организовывать,0
проникать,1
нарастить,0
поссориться,1
спасть,0
вспоминать,0
прорвать,1
усилиться,0
гордиться,1
ловить,0
учить,0
одобрять,1
поинтересоваться,0
профинансировать,0
разочаровать,1
превзойти,1
улучшиться,1
порекомендовать,0
провоцировать,1
отказывать,1
повышаться,0
драться,1
урезать,1
ослабить,1
сожалеть,1
удвоить,0
доминировать,0
пасть,1
повезти,0
проложить,0
хорошеть,0
экономить,0
беспокоить,1
прекращаться,0
вступиться,1
оговорить,1
обокрасть,1
презентовать,0
преподавать,0
повесить,1
выдворить,1
соглашаться,0
наехать,1
забывать,0
избавить,0
договариваться,0
обвалиться,1
проследить,0
разрешаться,1
наращивать,0
исчерпать,0
вытеснить,0
усмотреть,1
возрастать,0
осознать,0
пропагандировать,1
завершаться,0
похищать,1
воссоздать,0
отравлять,1
поведать,0
привыкнуть,0
возводить,0
просмотреть,0
похвалить,1
выгореть,1
содействовать,1
освобождать,1
молиться,1
посеять,1
осложнить,1
травмировать,1
воровать,1
обстреливать,1
предостеречь,1
порочить,1
освоить,0
останавливать,0
отстоять,1
удариться,1
укрепиться,0
опускаться,0
сломаться,1
захватывать,1
вторгнуться,1
захоронить,1
понизиться,0
эксплуатировать,1
поздравлять,0
усиливать,0
израсходовать,0
упрекнуть,1
пытать,1
отыскать,1
возобновлять,0
расстроить,1
дискредитировать,1
генерировать,0
распоряжаться,0
выращивать,0
бастовать,1
пугать,1
подрывать,1
злоупотреблять,1
достроить,0
толкнуть,1
разглядеть,0
арестовывать,1
уменьшаться,0
дорожать,0
зажечь,0
ужесточать,1
отступить,1
разрушать,1
дестабилизировать,1
разоблачить,1
обезглавить,1
велеть,0
отбросить,0
разыскать,0
изгнать,1
воссоединиться,1
застать,1
укреплять,0
исчезать,0
вырабатывать,0
ухудшить,1
дарить,0
приостанавливать,0
уклоняться,1
забрасывать,1
украшать,0
изготавливать,1
затормозить,0
шутить,0
увлекаться,0
воспрепятствовать,1
утерять,1
известить,1
преобладать,0
браться,0
побудить,0
штурмовать,1
ценить,0
оправдывать,1
осознавать,0
конфликтовать,1
оптимизировать,0
вынуждать,1
подтолкнуть,1
ухудшаться,1
чаять,0
сопротивляться,1
волновать,1
прятать,0
нейтрализовать,1
забивать,1
расправиться,1
смеяться,0
соорудить,0
поспособствовать,0
насиловать,1
издеваться,1
беспокоиться,0
отследить,0
осквернить,1
расширяться,0
обманывать,1
плакать,1
развить,0
переть,1
винить,1
раскаяться,1
настать,1
воспроизводить,0
обходить,0
ломать,1
донести,1
сразиться,1
навредить,1
звереть,1
враждовать,1
раздражать,1
обезопасить,1
оттеснить,1
ненавидеть,1
присуждать,0
благодарить,1
спасаться,1
давить,1
осваивать,0
уменьшать,0
прогнать,1
грабить,1
развалиться,1
вредить,1
переставать,0
подбросить,0
посмеяться,0
затратить,0
подводить,1
угодить,1
унижать,1
перерезать,1
сбрасывать,0
озаботить,1
оповестить,1
спонсировать,0
похвастаться,1
загрязнить,1
улыбаться,0
развести,0
обновлять,0
одолеть,0
укоротить,0
портить,1
приступать,0
покорить,0
обидеться,1
улучшать,0
консультировать,0
объединяться,0
заступиться,1
высылать,0
поощрять,1
уклониться,1
пресекать,1
усиливаться,0
запугать,1
заехать,0
бомбить,1
консолидировать,0
красть,1
вымереть,1
перекрывать,0
адаптироваться,0
породить,0
завоёвывать,0
укрепляться,1
разграбить,1
окончиться,0
экстрадировать,1
обогатить,0
лишаться,1
соблюсти,0
употребить,0
кидать,1
разгонять,1
присваивать,1
предотвращать,1
порадовать,1
уведомлять,0
ругаться,1
осложнять,1
разбомбить,1
ущемлять,1
радоваться,1
завязать,0
радовать,1
кинуть,1
дружить,1
отогнать,1
недооценить,0
выдумать,0
воспроизвести,0
отступать,0
выловить,0
царить,0
усугубить,0
уложить,0
пожалеть,1
подбить,1
тормозить,0
обидеть,1
сконструировать,0
принуждать,1
подставить,1
прерывать,0
задавить,1
противодействовать,1
осадить,1
упрекать,1
обосноваться,0
расходовать,0
осветить,0
жалеть,1
шантажировать,1
навязать,1
развиться,0
срывать,1
потрясти,1
сочувствовать,1
рождаться,0
раздавить,1
загрязнять,1
заесть,0
навязывать,1
удвоиться,0
лоббировать,1
почитать,0
потрясать,1
придумывать,0
потеплеть,0
тянуть,0
доставать,0
взрывать,1
расстреливать,1
толкать,1
разжигать,1
принудить,1
хоронить,1
волноваться,1
разоружить,1
подкупить,1
окружать,1
субсидировать,0
расшириться,0
надоесть,1
мстить,1
творить,0
вызволить,1
выкрасть,1
затребовать,1
разозлиться,1
агитировать,1
загнать,1
лгать,1
увлечься,0
иллюстрировать,0
угадать,0
кончиться,0
скорбеть,1
ассистировать,0
озаботиться,0
взламывать,1
улучшаться,0
завышать,0
расколоть,1
подключать,0
прострелить,1
приостанавливаться,0
парировать,0
переоценить,0
трактовать,0
докладывать,0
прихватить,0
зацепить,1
бушевать,1
подыскать,0
ослабнуть,0
вдохновлять,1
истолковать,0
разочароваться,1
наслаждаться,1
присягнуть,0
сочинить,0
разбивать,1
преувеличить,0
травить,1
задохнуться,1
разъяснять,0
громить,1
добить,1
грозиться,1
свалиться,1
отбиться,1
зародиться,1
затеять,1
обворовать,1
понадеяться,0
припомнить,1
отодвинуть,0
выследить,1
рожать,0
сетовать,0
обгонять,0
подружиться,1
понижать,0
отпугнуть,1
порождать,0
постичь,1
встревожить,1
подыскивать,0
образовываться,0
погубить,1
пресмыкаться,1
унизить,1
поклясться,1
врать,1
восстать,1
огорчить,1
форсировать,0
обрадоваться,1
нервничать,1
испортиться,0
сторожить,0
проиллюстрировать,0
скатиться,0
присматривать,0
запугивать,1
перебить,1
надругаться,1
обыгрывать,0
страховать,0
потеснить,0
вытаскивать,0
настигнуть,1
благословить,1
отклонять,1
первенствовать,0
бросаться,1
полюбить,1
занижать,0
оборваться,1
проконсультироваться,0
мочить,1
совершенствовать,0
заливать,0
обозвать,1
взволновать,1
симпатизировать,1
консультироваться,0
загрызть,1
взбунтоваться,1
разгневать,1
пренебрегать,1
излагать,0
поругаться,1
потянуть,0
резать,1
подталкивать,1
выгонять,1
выкопать,0
прибавиться,0
расстроиться,1
повелеть,0
побояться,1
вторгаться,1
усугублять,1
раскопать,0
подсказать,0
терроризировать,1
нормализовать,0
усматривать,1
повздорить,1
предостерегать,1
ослаблять,0
поправиться,0
опорочить,1
утащить,1
раскаиваться,1
отделать,0
вешать,0
разложить,0
побуждать,1
изуродовать,1
освистать,1
стучать,1
зарубить,1
тащить,0
извинить,0
подъезжать,0
подложить,1
беречь,1
апеллировать,0
оповещать,0
красить,0
недооценивать,0
поощрить,1
побороть,1
расплакаться,1
расколоться,1
выпалить,1
разминировать,1
возобновляться,0
обогащать,0
поискать,0
ссориться,1
посоветоваться,0
искоренить,0
сплотить,0
истратить,0
хвастаться,0
приговаривать,1
впечатлить,1
укрывать,1
отпугивать,1
вытеснять,1
изыскать,0
кинуться,0
испугать,1
деформировать,1
рваться,0
прогрессировать,1
приспособиться,0
выздороветь,1
отвоевать,1
приказывать,0
плюнуть,1
рискнуть,1
изобличить,1
надлежать,0
порадоваться,0
развозить,0
пренебречь,1
влюбляться,1
разнести,1
воздвигнуть,0
понаблюдать,0
разорить,1
