,verb,0/1
0,сообщать,0
1,сообщить,0
2,принять,1
3,задержать,1
4,провести,0
5,пройти,0
6,писать,0
7,начать,0
8,считать,0
9,погибнуть,1
10,сделать,0
11,найти,0
12,появиться,0
13,отказаться,1
14,признать,1
15,удаться,1
16,создать,1
17,решить,0
18,предложить,0
19,начаться,0
20,добавить,0
21,использовать,0
22,проходить,0
23,подозревать,1
24,запретить,1
25,утверждать,1
26,подписать,0
27,пытаться,0
28,пострадать,1
29,хотеть,0
30,обвинять,1
31,написать,0
32,вести,0
33,арестовать,1
34,проводить,0
35,принимать,0
36,выпустить,1
37,пояснить,0
38,обвинить,1
39,позволить,1
40,требовать,1
41,стоить,0
42,прийтись,0
43,упасть,1
44,представлять,0
45,потребовать,1
46,призвать,0
47,достигнуть,1
48,пообещать,1
49,построить,0
50,помочь,1
51,организовать,0
52,приговорить,1
53,попросить,1
54,объяснить,0
55,следовать,0
56,осудить,1
57,выиграть,1
58,скончаться,1
59,предлагать,0
60,делать,0
61,позволять,1
62,поддержать,1
63,прекратить,1
64,продолжаться,0
65,продолжать,0
66,завершиться,0
67,увеличить,0
68,похитить,1
69,освободить,1
70,запустить,0
71,нападать,1
72,попытаться,0
73,согласиться,1
74,привлечь,0
75,основать,0
76,поддерживать,1
77,захватить,1
78,видеть,0
79,продолжить,0
80,разрешить,1
81,устроить,0
82,одобрить,1
83,увеличиться,0
84,потерять,1
85,просить,1
86,оценить,0
87,допустить,1
88,возникнуть,0
89,прийти,0
90,превышать,0
91,грозить,1
92,прокомментировать,0
93,увидеть,0
94,победить,1
95,комментировать,0
96,снизиться,0
97,объединить,0
98,уничтожить,1
99,убить,1
100,превысить,0
101,сократить,0
102,договориться,0
103,утвердить,0
104,обязать,1
105,остановить,0
106,умереть,1
107,добиться,1
108,пользоваться,0
109,забить,1
110,снизить,0
111,обещать,0
112,вывести,0
113,потратить,0
114,надеяться,1
115,приостановить,0
116,рассчитывать,0
117,угрожать,1
118,судить,1
119,начинать,0
120,ждать,0
121,спасти,1
122,проиграть,1
123,закрыть,0
124,напасть,1
125,искать,0
126,вынудить,1
127,приходиться,0
128,произвести,0
129,застрелить,1
130,украсть,1
131,создавать,0
132,сократиться,0
133,бороться,1
134,отказываться,1
135,обыграть,1
136,ликвидировать,1
137,нарушить,1
138,родиться,0
139,помогать,1
140,приступить,0
141,повысить,0
142,закончиться,0
143,появляться,0
144,счесть,0
145,повредить,1
146,отказать,1
147,призывать,0
148,заблокировать,0
149,завоевать,1
150,предупредить,1
151,понять,0
152,достигать,0
153,сотрудничать,1
154,возобновить,0
155,рекомендовать,1
156,подорожать,1
157,выпускать,0
158,заставить,1
159,защитить,1
160,взорвать,1
161,сформировать,0
162,поймать,1
163,врезаться,1
164,понимать,0
165,оценивать,0
166,воспользоваться,0
167,способствовать,0
168,ударить,1
169,нарушать,1
170,потребоваться,0
171,отрицать,1
172,избить,1
173,протестовать,1
174,лишиться,1
175,производить,0
176,пожаловаться,1
177,опасаться,1
178,заподозрить,1
179,применить,0
180,отклонить,0
181,объяснять,0
182,бросить,0
183,строить,0
184,запрещать,1
185,последовать,0
186,перестать,0
187,разрушить,1
188,защищать,1
189,предпринять,0
190,обжаловать,1
191,закончить,0
192,обстрелять,1
193,забросить,1
194,перекрыть,0
195,загореться,0
196,опуститься,0
197,потерпеть,1
198,блокировать,1
199,добиваться,0
200,страдать,1
201,пригрозить,1
202,стрелять,1
203,посчитать,0
204,развивать,0
205,лидировать,1
206,раскритиковать,1
207,атаковать,1
208,обновить,0
209,отвергнуть,1
210,образоваться,0
211,изучить,0
212,предотвратить,1
213,помешать,1
214,решать,0
215,проникнуть,1
216,признавать,0
217,обрушиться,1
218,наказать,1
219,добавлять,0
220,присвоить,0
221,усилить,0
222,остановиться,0
223,чувствовать,0
224,применять,0
225,постановить,0
226,спровоцировать,1
227,требоваться,0
228,изучать,0
229,заказать,0
230,разыскивать,0
231,подарить,1
232,возникать,0
233,приходить,0
234,посоветовать,0
235,оправдать,1
236,прервать,1
237,устраивать,0
238,выстрелить,1
239,улучшить,1
240,сорвать,1
241,предупреждать,1
242,привлекать,1
243,инициировать,0
244,расстрелять,1
245,стремиться,0
246,исчезнуть,0
247,любить,1
248,решаться,0
249,изготовить,0
250,мешать,1
251,жаловаться,1
252,начинаться,0
253,ограбить,1
254,верить,1
255,сработать,0
256,возвести,0
257,ворваться,1
258,желать,1
259,удаваться,1
260,охранять,1
261,приниматься,0
262,падать,1
263,понадобиться,0
264,противоречить,1
265,поздравить,1
266,нуждаться,1
267,пожелать,1
268,разобраться,0
269,придумать,0
270,придерживаться,0
271,объединять,0
272,поблагодарить,1
273,выручить,1
274,сломать,1
275,уменьшиться,0
276,образовать,0
277,развиваться,1
278,допускать,1
279,бояться,1
280,поразить,1
281,уличить,1
282,соблюдать,1
283,угнать,1
284,продолжиться,0
285,разгромить,1
286,проанализировать,0
287,стараться,0
288,снижаться,0
289,учредить,0
290,тратить,0
291,инвестировать,0
292,бить,1
293,уменьшить,0
294,разбить,1
295,критиковать,1
296,распорядиться,0
297,пояснять,0
298,преследовать,1
299,захотеть,1
300,возобновиться,1
301,взломать,1
302,отвергать,1
303,воевать,1
304,дисквалифицировать,1
305,предпочитать,1
306,исследовать,0
307,хватать,1
308,убивать,1
309,подорвать,1
310,понравиться,1
311,настроить,0
312,заставлять,1
313,курировать,0
314,обойти,0
315,наступить,0
316,препятствовать,1
317,финансировать,1
318,скрывать,1
319,отражать,0
320,подвести,1
321,находить,0
322,терять,1
323,ужесточить,1
324,увеличиваться,0
325,употреблять,0
326,предпринимать,0
327,разрешать,0
328,выслать,1
329,повышать,0
330,заинтересоваться,1
331,присудить,1
332,приказать,1
333,спрятать,1
334,нравиться,1
335,побить,1
336,отвести,0
337,выигрывать,1
338,опередить,1
339,обмануть,1
340,почувствовать,0
341,подключить,0
342,забыть,1
343,увеличивать,0
344,заслужить,1
345,решиться,1
346,схватить,1
347,сэкономить,1
348,казнить,1
349,пресечь,1
350,противостоять,1
351,оккупировать,1
352,закрывать,0
353,избивать,1
354,уведомить,0
355,украсить,1
356,проинформировать,0
357,вспомнить,0
358,похоронить,1
359,обезвредить,1
360,предпочесть,1
361,разворачиваться,0
362,снижать,0
363,достать,0
364,изложить,0
365,задерживать,1
366,понизить,0
367,сомневаться,1
368,отслеживать,0
369,вырастить,0
370,заканчиваться,0
371,помнить,0
372,держаться,0
373,провалиться,1
374,заболеть,1
375,вытащить,1
376,сражаться,1
377,утратить,1
378,воспринять,0
379,интересоваться,1
380,ухудшиться,1
381,прекратиться,1
382,разогнать,1
383,приветствовать,1
384,изнасиловать,1
385,окружить,1
386,отразить,1
387,заминировать,1
388,повыситься,0
389,скрыть,1
390,востребовать,1
391,сбросить,1
392,опережать,1
393,формировать,0
394,санкционировать,0
395,побеждать,1
396,информировать,0
397,укрепить,1
398,вспыхнуть,1
399,переиграть,1
400,родить,0
401,подписывать,0
402,запускать,0
403,оскорблять,1
404,отравиться,1
405,свергнуть,1
406,поверить,1
407,обеспокоить,1
408,задеть,0
409,везти,0
410,постараться,1
411,проигнорировать,1
412,обогнать,0
413,завысить,0
414,доверять,1
415,оскорбить,1
416,выработать,0
417,бросать,0
418,депортировать,1
419,объединиться,1
420,советовать,1
421,обязывать,1
422,перехватить,1
423,отбить,1
424,взяться,0
425,прекращать,0
426,анализировать,0
427,отравить,1
428,посетовать,1
429,отстаивать,1
430,уважать,1
431,сокращать,0
432,доложить,0
433,научить,0
434,воспринимать,0
435,усомниться,0
436,развернуться,0
437,заслуживать,1
438,разбираться,0
439,ратифицировать,0
440,уничтожать,1
441,прибавить,0
442,рисковать,1
443,подъехать,0
444,зарезать,1
445,инкриминировать,1
446,выгнать,1
447,модернизировать,1
448,наступать,0
449,руководствоваться,0
450,осуждать,1
451,отомстить,1
452,душить,1
453,побороться,1
454,колебаться,1
455,сокращаться,0
456,болеть,1
457,броситься,1
458,смягчить,1
459,игнорировать,1
460,спастись,1
461,испортить,1
462,отрезать,0
463,проигрывать,1
464,освещать,0
465,занизить,0
466,испугаться,1
467,поражать,1
468,умирать,1
469,превосходить,1
470,завязаться,0
471,терпеть,1
472,пошутить,1
473,шокировать,1
474,догнать,1
475,останавливаться,0
476,разъяснить,0
477,вдохновить,1
478,усовершенствовать,1
479,приняться,0
480,возлюбить,1
481,наброситься,1
482,напугать,1
483,патрулировать,0
484,завладеть,1
485,разразиться,0
486,полагаться,0
487,упустить,1
488,помиловать,1
489,спасать,1
490,организовывать,0
491,проникать,1
492,нарастить,0
493,поссориться,1
494,спасть,1
495,вспоминать,0
496,прорвать,1
497,усилиться,1
498,гордиться,1
499,ловить,1
500,учить,0
501,одобрять,1
502,поинтересоваться,0
503,профинансировать,1
504,разочаровать,1
505,превзойти,1
506,улучшиться,1
507,порекомендовать,0
508,провоцировать,1
509,отказывать,1
510,повышаться,0
511,драться,1
512,урезать,1
513,ослабить,1
514,сожалеть,1
515,удвоить,0
516,доминировать,1
517,пасть,1
518,повезти,1
519,проложить,0
520,хорошеть,1
521,экономить,1
522,беспокоить,1
523,прекращаться,0
524,вступиться,1
525,оговорить,0
526,обокрасть,1
527,презентовать,1
528,преподавать,0
529,повесить,0
530,выдворить,1
531,соглашаться,1
532,наехать,1
533,забывать,0
534,избавить,1
535,договариваться,1
536,обвалиться,1
537,проследить,0
538,разрешаться,0
539,наращивать,0
540,исчерпать,1
541,вытеснить,1
542,усмотреть,0
543,возрастать,0
544,осознать,0
545,пропагандировать,0
546,завершаться,0
547,похищать,1
548,воссоздать,0
549,отравлять,1
550,поведать,0
551,привыкнуть,1
552,возводить,0
553,просмотреть,0
554,похвалить,1
555,выгореть,1
556,содействовать,1
557,освобождать,1
558,молиться,1
559,посеять,0
560,осложнить,1
561,травмировать,1
562,воровать,1
563,обстреливать,1
564,предостеречь,1
565,порочить,1
566,освоить,0
567,останавливать,0
568,отстоять,1
569,удариться,1
570,укрепиться,1
571,опускаться,0
572,сломаться,1
573,захватывать,1
574,вторгнуться,1
575,захоронить,0
576,понизиться,0
577,эксплуатировать,1
578,поздравлять,1
579,усиливать,1
580,израсходовать,1
581,упрекнуть,1
582,пытать,1
583,отыскать,0
584,возобновлять,0
585,расстроить,1
586,дискредитировать,1
587,генерировать,0
588,распоряжаться,0
589,выращивать,0
590,бастовать,1
591,пугать,1
592,подрывать,1
593,злоупотреблять,1
594,достроить,1
595,толкнуть,1
596,разглядеть,0
597,арестовывать,1
598,уменьшаться,0
599,дорожать,1
600,зажечь,0
601,ужесточать,1
602,отступить,1
603,разрушать,1
604,дестабилизировать,1
605,разоблачить,1
606,обезглавить,1
607,велеть,0
608,отбросить,1
609,разыскать,0
610,изгнать,1
611,воссоединиться,1
612,застать,0
613,укреплять,1
614,исчезать,1
615,вырабатывать,0
616,ухудшить,1
617,дарить,1
618,приостанавливать,0
619,уклоняться,0
620,забрасывать,0
621,украшать,1
622,изготавливать,0
623,затормозить,0
624,шутить,0
625,увлекаться,0
626,воспрепятствовать,1
627,утерять,1
628,известить,0
629,преобладать,0
630,браться,0
631,побудить,1
632,штурмовать,1
633,ценить,1
634,оправдывать,1
635,осознавать,0
636,конфликтовать,1
637,оптимизировать,1
638,вынуждать,1
639,подтолкнуть,0
640,ухудшаться,1
641,чаять,1
642,сопротивляться,1
643,волновать,0
644,прятать,0
645,нейтрализовать,1
646,забивать,1
647,расправиться,1
648,смеяться,0
649,соорудить,0
650,поспособствовать,1
651,насиловать,1
652,издеваться,1
653,беспокоиться,1
654,отследить,0
655,осквернить,1
656,расширяться,0
657,обманывать,1
658,плакать,1
659,развить,0
660,переть,1
661,винить,1
662,раскаяться,1
663,настать,0
664,воспроизводить,0
665,обходить,0
666,ломать,1
667,донести,1
668,сразиться,1
669,навредить,1
670,звереть,1
671,враждовать,1
672,раздражать,1
673,обезопасить,1
674,оттеснить,1
675,ненавидеть,1
676,присуждать,0
677,благодарить,1
678,спасаться,1
679,давить,0
680,осваивать,0
681,уменьшать,0
682,прогнать,1
683,грабить,1
684,развалиться,1
685,вредить,1
686,переставать,0
687,подбросить,0
688,посмеяться,0
689,затратить,0
690,подводить,1
691,угодить,0
692,унижать,1
693,перерезать,0
694,сбрасывать,0
695,озаботить,1
696,оповестить,0
697,спонсировать,1
698,похвастаться,1
699,загрязнить,1
700,улыбаться,0
701,развести,0
702,обновлять,0
703,одолеть,1
704,укоротить,0
705,портить,1
706,приступать,0
707,покорить,1
708,обидеться,1
709,улучшать,1
710,консультировать,0
711,объединяться,0
712,заступиться,1
713,высылать,1
714,поощрять,1
715,уклониться,1
716,пресекать,1
717,усиливаться,1
718,запугать,1
719,заехать,0
720,бомбить,1
721,консолидировать,0
722,красть,1
723,вымереть,1
724,перекрывать,0
725,адаптироваться,1
726,породить,1
727,завоёвывать,1
728,укрепляться,1
729,разграбить,1
730,окончиться,0
731,экстрадировать,1
732,обогатить,1
733,лишаться,1
734,соблюсти,1
735,употребить,0
736,кидать,0
737,разгонять,1
738,присваивать,0
739,предотвращать,1
740,порадовать,1
741,уведомлять,0
742,ругаться,1
743,осложнять,1
744,разбомбить,1
745,ущемлять,1
746,радоваться,1
747,завязать,0
748,радовать,1
749,кинуть,0
750,дружить,1
751,отогнать,1
752,недооценить,0
753,выдумать,0
754,воспроизвести,0
755,отступать,1
756,выловить,0
757,царить,1
758,усугубить,1
759,уложить,0
760,пожалеть,1
761,подбить,1
762,тормозить,0
763,обидеть,1
764,сконструировать,0
765,принуждать,1
766,подставить,1
767,прерывать,1
768,задавить,1
769,противодействовать,1
770,осадить,1
771,упрекать,1
772,обосноваться,0
773,расходовать,0
774,осветить,0
775,жалеть,1
776,шантажировать,1
777,навязать,1
778,развиться,0
779,срывать,0
780,потрясти,0
781,сочувствовать,1
782,рождаться,0
783,раздавить,1
784,загрязнять,1
785,заесть,1
786,навязывать,1
787,удвоиться,0
788,лоббировать,1
789,почитать,0
790,потрясать,0
791,придумывать,0
792,потеплеть,0
793,тянуть,0
794,доставать,0
795,взрывать,1
796,расстреливать,1
797,толкать,0
798,разжигать,1
799,принудить,1
800,хоронить,1
801,волноваться,1
802,разоружить,1
803,подкупить,1
804,окружать,0
805,субсидировать,1
806,расшириться,0
807,надоесть,1
808,мстить,1
809,творить,0
810,вызволить,1
811,выкрасть,1
812,затребовать,1
813,разозлиться,1
814,агитировать,0
815,загнать,1
816,лгать,1
817,увлечься,1
818,иллюстрировать,0
819,угадать,0
820,кончиться,0
821,скорбеть,1
822,ассистировать,1
823,озаботиться,0
824,взламывать,1
825,улучшаться,1
826,завышать,1
827,расколоть,1
828,подключать,0
829,прострелить,1
830,приостанавливаться,0
831,парировать,0
832,переоценить,0
833,трактовать,0
834,докладывать,0
835,прихватить,0
836,зацепить,0
837,бушевать,1
838,подыскать,0
839,ослабнуть,1
840,вдохновлять,1
841,истолковать,0
842,разочароваться,1
843,наслаждаться,1
844,присягнуть,1
845,сочинить,0
846,разбивать,1
847,преувеличить,0
848,травить,1
849,задохнуться,1
850,разъяснять,0
851,громить,1
852,добить,1
853,грозиться,1
854,свалиться,1
855,отбиться,1
856,зародиться,0
857,затеять,0
858,обворовать,1
859,понадеяться,1
860,припомнить,0
861,отодвинуть,0
862,выследить,1
863,рожать,0
864,сетовать,1
865,обгонять,0
866,подружиться,1
867,понижать,0
868,отпугнуть,1
869,порождать,0
870,постичь,0
871,встревожить,1
872,подыскивать,0
873,образовываться,0
874,погубить,1
875,пресмыкаться,1
876,унизить,1
877,поклясться,0
878,врать,1
879,восстать,1
880,огорчить,1
881,форсировать,1
882,обрадоваться,1
883,нервничать,1
884,испортиться,1
885,сторожить,0
886,проиллюстрировать,0
887,скатиться,0
888,присматривать,0
889,запугивать,1
890,перебить,1
891,надругаться,1
892,обыгрывать,1
893,страховать,0
894,потеснить,1
895,вытаскивать,0
896,настигнуть,0
897,благословить,1
898,отклонять,0
899,первенствовать,1
900,бросаться,1
901,полюбить,1
902,занижать,0
903,оборваться,0
904,проконсультироваться,0
905,мочить,0
906,совершенствовать,0
907,заливать,0
908,обозвать,1
909,взволновать,1
910,симпатизировать,1
911,консультироваться,0
912,загрызть,1
913,взбунтоваться,1
914,разгневать,1
915,пренебрегать,1
916,излагать,0
917,поругаться,1
918,потянуть,0
919,резать,0
920,подталкивать,0
921,выгонять,1
922,выкопать,0
923,прибавиться,0
924,расстроиться,1
925,повелеть,1
926,побояться,1
927,вторгаться,1
928,усугублять,1
929,раскопать,0
930,подсказать,0
931,терроризировать,1
932,нормализовать,0
933,усматривать,0
934,повздорить,1
935,предостерегать,1
936,ослаблять,1
937,поправиться,1
938,опорочить,1
939,утащить,0
940,раскаиваться,1
941,отделать,0
942,вешать,0
943,разложить,0
944,побуждать,1
945,изуродовать,1
946,освистать,1
947,стучать,0
948,зарубить,1
949,тащить,0
950,извинить,1
951,подъезжать,0
952,подложить,0
953,беречь,1
954,апеллировать,0
955,оповещать,0
956,красить,0
957,недооценивать,1
958,поощрить,1
959,побороть,1
960,расплакаться,1
961,расколоться,0
962,выпалить,0
963,разминировать,1
964,возобновляться,0
965,обогащать,1
966,поискать,0
967,ссориться,1
968,посоветоваться,0
969,искоренить,1
970,сплотить,1
971,истратить,0
972,хвастаться,1
973,приговаривать,1
974,впечатлить,1
975,укрывать,1
976,отпугивать,1
977,вытеснять,1
978,изыскать,0
979,кинуться,1
980,испугать,1
981,деформировать,0
982,рваться,0
983,прогрессировать,1
984,приспособиться,1
985,выздороветь,1
986,отвоевать,1
987,приказывать,1
988,плюнуть,0
989,рискнуть,1
990,изобличить,1
991,надлежать,0
992,порадоваться,1
993,развозить,0
994,пренебречь,1
995,влюбляться,1
996,разнести,1
997,воздвигнуть,1
998,понаблюдать,0
999,разорить,1