агитировать,1
адаптироваться,1
арестовать,6
арестовывать,6
атаковать,6
бастовать,6
беречь,3
беспокоить,6
беспокоиться,1
бить,6
благодарить,6
благословить,3
блокировать,3
болеть,3
бомбить,6
бороться,3
бояться,6
бросаться,1
бросить,1
бушевать,3
вдохновить,6
вдохновлять,3
велеть,0
верить,1
взбунтоваться,3
взволновать,3
взламывать,3
взломать,6
взорвать,6
взрывать,6
винить,6
влюбляться,6
воевать,3
воздвигнуть,1
возлюбить,6
волновать,1
волноваться,3
ворваться,3
воровать,6
воспрепятствовать,6
воссоединиться,6
восстать,3
востребовать,1
впечатлить,3
враждовать,6
врать,3
вредить,6
врезаться,6
вспыхнуть,1
встревожить,3
вступиться,3
вторгаться,3
вторгнуться,6
выгнать,6
выгонять,3
выгореть,6
выдворить,6
вызволить,6
выздороветь,3
выиграть,6
выигрывать,6
выкрасть,6
вымереть,6
вынудить,6
вынуждать,6
выпустить,1
выручить,6
выслать,1
выследить,1
выстрелить,6
вытеснить,1
вытеснять,3
гордиться,6
грабить,6
грозить,3
грозиться,3
громить,3
давить,1
дарить,3
депортировать,6
дестабилизировать,6
деформировать,1
дисквалифицировать,3
дискредитировать,6
добить,3
добиться,3
доверять,6
договариваться,1
договориться,1
доминировать,1
донести,3
допустить,1
дорожать,1
достигать,1
достигнуть,3
драться,6
дружить,3
душить,6
жалеть,3
жаловаться,6
желать,1
забивать,3
забить,1
заблокировать,1
заболеть,6
забрасывать,1
забросить,1
завладеть,3
завоевать,6
завоёвывать,3
загнать,3
загореться,1
загрызть,3
загрязнить,3
загрязнять,3
задавить,6
задержать,6
задерживать,3
задеть,1
задохнуться,3
заинтересоваться,1
заминировать,6
заподозрить,3
запретить,6
запрещать,1
запугать,6
запугивать,6
зарезать,6
зарубить,3
заслуживать,6
заслужить,6
заставить,6
заставлять,3
застрелить,3
заступиться,3
затребовать,3
захватить,6
захватывать,3
захотеть,1
защитить,6
защищать,6
звереть,6
злоупотреблять,6
игнорировать,1
избавить,1
избивать,6
избить,6
извинить,3
изгнать,6
издеваться,6
изнасиловать,6
изобличить,3
израсходовать,1
изуродовать,6
инкриминировать,1
интересоваться,1
искоренить,1
испортить,3
испортиться,3
испугать,3
испугаться,3
исчерпать,3
казнить,6
конфликтовать,6
красть,6
критиковать,3
лгать,6
лидировать,3
ликвидировать,3
лишаться,3
лишиться,6
лоббировать,3
ловить,1
ломать,6
любить,6
мешать,3
модернизировать,3
молиться,3
мочить,1
мстить,6
наброситься,6
навредить,6
навязать,3
навязывать,6
надеяться,1
надоесть,3
надругаться,6
наехать,1
наказать,6
нападать,6
напасть,6
напугать,6
нарушать,3
нарушить,6
насиловать,6
наслаждаться,3
недооценивать,1
нейтрализовать,6
ненавидеть,6
нервничать,3
нравиться,3
нуждаться,3
обвалиться,3
обвинить,3
обвинять,6
обворовать,3
обезвредить,6
обезглавить,6
обезопасить,6
обеспокоить,3
обжаловать,1
обидеть,6
обидеться,3
обмануть,6
обманывать,6
обогатить,1
обогащать,1
обозвать,3
обокрасть,6
обрадоваться,3
обрушиться,3
обстреливать,6
обстрелять,6
объединиться,1
обыграть,1
обыгрывать,1
обязать,3
обязывать,1
оговорить,1
огорчить,3
ограбить,6
одобрить,3
одобрять,6
одолеть,3
озаботить,3
оккупировать,6
окружить,1
опасаться,3
опередить,1
опорочить,3
оправдать,3
оправдывать,3
оптимизировать,1
осадить,3
освистать,3
освободить,6
освобождать,6
осквернить,6
оскорбить,6
оскорблять,6
ослабить,3
ослаблять,1
ослабнуть,1
осложнить,3
осложнять,3
основать,1
осудить,6
осуждать,6
отбить,3
отбиться,3
отвергать,3
отвергнуть,3
отвоевать,6
отказать,3
отказаться,3
отказывать,3
отклонить,1
отклонять,1
отогнать,3
отомстить,6
отпугивать,3
отпугнуть,3
отравить,6
отравиться,6
отравлять,6
отрицать,3
отстаивать,6
отстоять,3
отступить,3
оттеснить,3
охранять,3
падать,1
пасть,3
перебить,1
перерезать,3
переть,3
перехватить,1
плакать,6
плюнуть,1
победить,3
побеждать,6
побить,6
поблагодарить,6
побороть,3
побороться,3
побояться,3
побудить,1
побуждать,1
повезти,1
поверить,1
повздорить,3
повредить,6
погибнуть,6
погубить,6
подарить,3
подбить,1
подвести,1
подводить,6
поддержать,3
поддерживать,6
подкупить,3
подозревать,3
подорвать,6
подорожать,6
подружиться,6
подрывать,6
подставить,3
пожалеть,3
пожаловаться,3
пожелать,1
поздравить,6
поздравлять,3
поймать,3
покорить,1
полюбить,3
помешать,1
помиловать,6
помогать,6
помочь,6
понадеяться,1
понравиться,3
пообещать,1
поощрить,3
поощрять,6
поправиться,1
попросить,1
порадовать,6
порадоваться,1
поражать,3
поразить,6
порочить,6
портить,3
поругаться,3
посетовать,1
поспособствовать,1
поссориться,6
постараться,1
пострадать,6
потерпеть,1
потерять,3
потеснить,1
потребовать,6
потрясать,1
потрясти,1
похвалить,6
похвастаться,3
похитить,6
похищать,6
похоронить,3
пошутить,1
превзойти,6
превосходить,1
предостерегать,3
предостеречь,3
предотвратить,6
предотвращать,3
предпочесть,1
предпочитать,1
предупредить,1
предупреждать,1
прекратить,1
пренебрегать,3
пренебречь,3
препятствовать,1
прервать,1
прерывать,1
пресекать,3
пресечь,3
преследовать,3
пресмыкаться,6
приветствовать,1
привлекать,1
приговаривать,3
приговорить,6
пригрозить,3
приказать,6
приказывать,1
принудить,6
принуждать,6
принять,1
присваивать,1
присвоить,1
присудить,1
присягнуть,1
провалиться,3
провоцировать,3
прогнать,3
прогрессировать,6
проигнорировать,1
проиграть,3
проигрывать,3
проникать,1
проникнуть,1
пропагандировать,1
прорвать,1
прострелить,3
протестовать,3
противодействовать,3
противоречить,3
противостоять,3
профинансировать,1
пугать,6
пытать,6
радовать,3
радоваться,3
разбивать,3
разбираться,1
разбить,3
разбомбить,6
развалиться,3
разгневать,6
разгонять,3
разграбить,6
разгромить,3
раздавить,3
раздражать,6
разжигать,3
разминировать,3
разнести,1
разоблачить,6
разогнать,3
разозлиться,3
разорить,6
разоружить,3
разочаровать,6
разочароваться,3
разрешать,1
разрешаться,1
разрешить,1
разрушать,6
разрушить,6
разыскивать,1
раскаиваться,6
раскаяться,6
расколоть,3
расколоться,1
раскритиковать,6
расплакаться,3
расправиться,6
расстреливать,6
расстрелять,6
расстроить,6
расстроиться,3
ратифицировать,1
рекомендовать,1
решиться,1
рискнуть,1
рисковать,3
ругаться,3
свалиться,3
свергнуть,6
сетовать,1
симпатизировать,3
скончаться,6
скорбеть,3
скрывать,3
скрыть,1
сломать,3
сломаться,3
смягчить,3
совершенствовать,1
советовать,1
согласиться,3
соглашаться,1
содействовать,3
сожалеть,6
сомневаться,1
сопротивляться,6
сорвать,3
сотрудничать,1
сочувствовать,3
спасать,6
спасаться,6
спасти,3
спастись,6
сплотить,3
спонсировать,1
способствовать,1
спровоцировать,3
спрятать,1
сработать,1
сражаться,3
сразиться,3
срывать,1
ссориться,3
страдать,6
стрелять,6
субсидировать,1
судить,3
схватить,3
творить,1
терпеть,6
терроризировать,6
терять,1
толкать,1
толкнуть,6
травить,6
травмировать,6
требовать,6
убивать,6
убить,6
уважать,6
увлечься,1
угнать,6
угодить,1
угрожать,6
удаваться,6
ударить,6
удариться,3
удаться,1
ужесточать,6
ужесточить,6
уклониться,3
уклоняться,3
украсить,3
украсть,6
украшать,1
укрепить,3
укреплять,1
укрепляться,1
укрывать,3
уличить,6
улучшать,3
улучшаться,3
улучшить,3
улучшиться,3
умереть,6
умирать,6
унижать,6
унизить,6
уничтожать,6
уничтожить,6
упасть,3
упрекать,3
упрекнуть,6
упустить,1
урезать,3
усиливать,1
усовершенствовать,1
устроить,1
усугубить,3
усугублять,3
утерять,1
утратить,3
ухудшаться,6
ухудшить,6
ухудшиться,6
ущемлять,6
финансировать,1
форсировать,1
хвастаться,1
хватать,1
хоронить,3
хорошеть,3
ценить,3
чаять,1
шантажировать,6
шокировать,3
штурмовать,6
эксплуатировать,3
экстрадировать,3
